[2026-06-10T07:57:13.522Z] GET http://localhost:8765/index.html → 200 (10ms, 25624B)
[2026-06-10T07:57:13.541Z] GET https://cdn.tailwindcss.com/ → 302 (158ms, ?B)
[2026-06-10T07:57:13.542Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (306ms, 1233B)
[2026-06-10T07:57:13.542Z] GET http://localhost:8765/styles.css → 200 (4ms, 10397B)
[2026-06-10T07:57:13.542Z] GET https://placehold.co/300x170?text=No+Video → 200 (346ms, 1734B)
[2026-06-10T07:57:13.542Z] GET https://placehold.co/280x157.5/333333/FFFFFF?text=No+Thumbnail → pending (?ms, ?B)
[2026-06-10T07:57:13.542Z] GET http://localhost:8765/core-utils.js → 200 (348ms, 19040B)
[2026-06-10T07:57:13.542Z] GET http://localhost:8765/core-obs.js → 404 (347ms, ?B)
[2026-06-10T07:57:13.542Z] GET http://localhost:8765/core-scheduler.js → 404 (349ms, ?B)
[2026-06-10T07:57:13.542Z] GET http://localhost:8765/player-loop.js → 404 (347ms, ?B)
[2026-06-10T07:57:13.544Z] GET http://localhost:8765/player-live.js → 404 (346ms, ?B)
[2026-06-10T07:57:13.544Z] GET http://localhost:8765/player-delay.js → 404 (344ms, ?B)
[2026-06-10T07:57:13.544Z] GET http://localhost:8765/player-localpc.js → 404 (347ms, ?B)
[2026-06-10T07:57:13.544Z] GET http://localhost:8765/monitor-live.js → 200 (348ms, 21949B)
[2026-06-10T07:57:13.544Z] GET http://localhost:8765/monitor-katha.js → 200 (348ms, 12972B)
[2026-06-10T07:57:13.544Z] GET http://localhost:8765/main.js → 404 (348ms, ?B)
[2026-06-10T07:57:13.699Z] GET https://cdn.tailwindcss.com/3.4.17 → 200 (48ms, 126878B)
[2026-06-10T07:57:13.886Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (238ms, 48983B)
[2026-06-10T07:57:13.913Z] GET https://api.codetabs.com/v1/proxy/?quest=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
[2026-06-10T07:57:13.921Z] GET https://api.codetabs.com/v1/proxy/?quest=https%3A%2F%2Fwww.youtube.com%2Fplaylist%3Flist%3DUULFQXWP4gEdEwlb6vodwrU75A → pending (?ms, ?B)
[2026-06-10T07:57:17.768Z] GET https://api.codetabs.com/v1/proxy/?quest=https%3A%2F%2Fwww.youtube.com%2Ffeeds%2Fvideos.xml%3Fchannel_id%3DUCQXWP4gEdEwlb6vodwrU75A → pending (?ms, ?B)
[2026-06-10T07:57:43.920Z] GET https://api.codetabs.com/v1/proxy/?quest=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
